12I2_P533	0.245369061804	0.11758491615	0.207808178747
13I2_P222	0.308751655502	0.0785326521411	0.190827683587
11I2_P522	0.325327041821	0.135548867362	0.311323065326
10I2_P511	0.466985414991	0.261098714048	0.465512923647
10I1_CP211	0.193905222771	0.0423420565429	0.165518209264
13I1_CP313	0.195460709343	0.0748973429199	0.0667937965935
12I1_CP121	0.485472302	0.243004522423	0.46551721615
11I1_CP132	0.605215793161	0.494685089629	0.0461123051751
1I1_CP521	0.356351834277	0.211966885692	0.14193582591
15I1_CP522	0.29609522535	0.16838188609	0.158680945723
14I1_CP513	0.161380327966	0.086243807857	0.129344066681
16I1_CP523	0.312237919355	0.189146970341	0.156695615838
19I1_CP311	0.111113438075	0.0622338287788	0.0576688344172
18I1_CP212	0.087363043221	0.0288221282333	0.0555286650854
20I1_CP213	0.0743367907942	0.0255871924359	0.0449355360332
17I1_CP323	0.192352203312	0.115434988465	0.0797735122736
23I2_P711	0.255184177943	0.145426633888	0.0538159526164
22I2_P422	0.180863504537	0.0956817464216	0.128479774768
21I2_P233	0.466944073891	0.225024707095	0.422917977931
20I2_P211	0.454305907979	0.177876592437	0.424859901441
24I1_CP512	0.1469653044	0.0624908155165	0.116019216429
21I1_CP113	0.226207348843	0.144658222465	0.126983263164
22I1_CP112	0.195792773019	0.0953988809163	0.134131762285
23I1_CP321	0.19854062804	0.0808753775608	0.0996418066744
24I2_P733	0.260152846822	0.148130042251	0.16255376265
6I2_P433	0.248252940235	0.110999405018	0.175474385457
5I2_P411	0.134900294474	0.0229702714062	0.0993470883793
4I1_CP231	0.154160067629	0.0224400024291	0.117451644823
6I1_CP331	0.223786786715	0.0828568230413	0.0540536008882
2I1_CP111	0.256932577748	0.181264758697	0.122384770588
5I1_CP221	0.186543384737	0.0349050859605	0.133991763212
3I1_CP312	0.278336472834	0.169055187325	0.16104418084
9I2_P333	0.215108922099	0.0662676527756	0.200389399099
7I2_P311	0.146525651492	0.0389030299693	0.129758981457
8I2_P322	0.161777959329	0.0210510477003	0.150327641164
9I1_CP511	0.139631673769	0.0904843642363	0.0830220417714
8I1_CP321	0.254253004724	0.134105501954	0.0776267010451
7I1_CP122	0.26421537365	0.187750003043	0.158158106517
